,Article Type,URL,Has Tweet Source?,Location Tweet Source
0,featured,https://www.abc.net.au/news/2021-11-26/coronacheck-melbourne-covid-protest-crowd-size/100650146,TRUE,"['tweeted', '""Unless there were also 100,000 marching in Melbourne last week, the claim isn\'t accurate,"" Professor Bongiorno, who is head of the School of History at ANU, said of Mr Kelly\'s tweet.']"
1,featured,https://www.abc.net.au/news/2021-11-19/coronacheck-craig-kelly-more-texts-united-australia-party/100630886,FALSE,
2,featured,https://www.abc.net.au/news/2021-11-12/coronacheck-daniel-andrews-new-proposed-pandemic-laws/100613606,FALSE,
3,featured,https://www.abc.net.au/news/2021-11-10/fact-check-private-jets-alexander-downer/100606692,FALSE,
4,featured,https://www.abc.net.au/news/2021-11-05/coronacheck-qr-codes-do-not-breach-australian-law/100593754,FALSE,
5,featured,https://www.abc.net.au/news/2021-10-29/coronacheck-prince-charles-fainting-man/100576262,FALSE,
6,featured,https://www.abc.net.au/news/2021-10-27/fact-check-gina-rinehart-polar-bears/100569118,FALSE,
7,default latest,https://www.abc.net.au/news/2021-10-25/fact-check-is-melbourne-most-locked-down-city/100560172,FALSE,
8,default latest,https://www.abc.net.au/news/2021-10-22/coronacheck-vaccinations-in-schools-informed-consent/100556640,FALSE,
9,default latest,https://www.abc.net.au/news/2021-10-21/are-fossil-fuels-australia-s-largest-export-barnaby-joyce/100553352,FALSE,
10,default latest,https://www.abc.net.au/news/2021-10-15/coronacheck-nsw-supreme-court-transcript-fake/100539064,FALSE,
11,default latest,https://www.abc.net.au/news/2021-10-13/fact-check-is-it-perfectly-legal-to-lie-in-a-political-ad-/100511796,FALSE,
12,default latest,https://www.abc.net.au/news/2021-10-08/coronacheck-poland-viral-video-embassy-protest/100521346,TRUE,"['""Poland stands with the Aussies"", states one widely shared tweet from what appears to be a Melbourne-based account.']"
13,default latest,https://www.abc.net.au/news/2021-10-06/morrison-businesses-refusing-unvaccinated-customers/100512488,FALSE,
14,default latest,https://www.abc.net.au/news/2021-10-01/coronacheck-martin-foley-vaccination-gaffe/100504420,FALSE,
15,default latest,https://www.abc.net.au/news/2021-09-24/coronacheck-dan-andrews-medicare-voice-recording/100485564,FALSE,
16,pagination latest,https://www.abc.net.au/news/2021-09-23/fact-check-annastacia-palaszczuk-doherty-modelling/100481476,TRUE,['tweeted the claim']
17,pagination latest,https://www.abc.net.au/news/2021-09-21/fact-check-teenagers-with-covid-19-ending-up-in-hospital/100467134,FALSE,
18,pagination latest,https://www.abc.net.au/news/2021-09-17/coronacheck-nicki-minaj-swollen-testicles-covid-19-vaccine/100467622,TRUE,"[""Minaj tweeted a dubious claim regarding the COVID-19 vaccine and her cousin's friend's testicles."", 'tweeting', '""Wait … so one of the side effects of taking Ivermectin is infertility??,"" one popular tweet read. ""I\'m changing my position and fully support Republican men\'s efforts to heal themselves. Keep going!!""']"
19,pagination latest,https://www.abc.net.au/news/2021-09-15/fact-check-misinformation-study/100460466,FALSE,
