,Article Type,URL,Has Tweet Source?,Location Tweet Source,Claims,Original tweets
0,in-the-red,https://www.abc.net.au/news/2020-10-28/fact-check-queensland-unemployment-before-covid-19-coronavirus/12782678,False,,"[""When you've had four consecutive years of the highest unemployment rate in the nation — and this was before COVID — Queenslanders deserve a government that has an economic plan to drag Queensland out of the recession and get people into jobs,"", 'Queensland has had the worst unemployment record in Australia for the last four years thanks to Labor.']","['Quoted claim exceeds 280 characters', 'No tweets found']"
1,in-the-red,https://www.abc.net.au/news/2020-10-01/fact-check-was-victorias-lockdown-most-severe-oustide-wuhan/12690432,False,,"['health dictatorship', 'extraordinary ineptitude', 'responded to with the most severe lockdown tried anywhere in the world outside of Wuhan itself']","['www.twitter.com/kerrberr74/status/1306148993248960512', 'www.twitter.com/GrallertM/status/1291745146539773953', 'No tweets found']"
2,in-the-red,https://www.abc.net.au/news/2020-05-21/has-hydroxychloroquine-helped-australia-flatten-the-death-curve/12256996,False,,['best hope'],['www.twitter.com/J0esm0w/status/1263000355782213633']
3,in-the-red,https://www.abc.net.au/news/2020-03-12/fact-check-pauline-hanson-transgender-children-census/12044974,False,,"[""some teachers and schools  pushing the idea that a child's biological sex does not determine whether you are male or female"", 'How many transgender children are there in schools in Australia?', 'According to the 2016 census, just 57 students under the age of 15 identified as transgender.']","['No tweets found', 'No tweets found', 'No tweets found']"
4,in-the-red,https://www.abc.net.au/news/2020-02-13/fact-check-barista-vs-coal-mining-jobs/11958124,False,,"[""The Liberals love to dismiss environmentalists as 'latte sipping lefties' that want to take away Australian jobs,"", 'Someone should probably tell them that making lattes provides more Australian jobs than the entire coal industry.']","['No tweets found', 'www.twitter.com/shakytumbleweed/status/1219141453202329600']"
5,in-the-red,https://www.abc.net.au/news/2019-12-05/fact-check-are-nsw-firefighters-facing--budget-cuts/11747396,True,['Twitter with varying numbers to support their case.'],"["" government's budget papers show that Fire and Rescue NSW and the Rural Fire Service combined are facing a $40 million budget cut — a cut that will mean fewer people on the ground to fight fires and less budget to do it with"", 'provided record funding to all of our frontline agencies in emergency services']","['Quoted claim exceeds 280 characters', 'No tweets found']"
6,in-the-red,https://www.abc.net.au/news/2019-11-29/fact-check-is-the-cfmmeu-most-unlwaful-union-in-history/11746820,False,,"[""the most unlawful organisation in the history of Australia's industrial laws — the most, including the BLF ."", ""ou've got one particular union which everyone clearly believes has a history of unlawfulness which is completely unprecedented … The point is there has never been … an organisation in the union movement more unlawful than the CFMEU .""]","['No tweets found', 'Quoted claim exceeds 280 characters']"
7,in-the-red,https://www.abc.net.au/news/2019-11-08/fact-check-carbon-emissions-under-the-coalition/11662018,False,,"['done a great job', 'factually wrong', 'They have fallen since 2005,', 'They are the lowest they have ever been.']","['www.twitter.com/daveproctor16/status/1192337535596404736', 'www.twitter.com/ekinn3/status/1192126555536928768', 'No tweets found', 'www.twitter.com/carolemorrissey/status/1178921150585270278']"
8,in-the-red,https://www.abc.net.au/news/2019-09-13/did-the-coalition-inherit-an-emissions-deficit-scott-morrison/11506064,False,,"['When we came to government there was a 700 million-tonne deficit when it came to meeting our 2020 Kyoto targets, and we set to work immediately and turned that around, and we will now exceed the Kyoto 2020 targets by 367 million tonnes.']",['Quoted claim exceeds 280 characters']
9,in-the-red,https://www.abc.net.au/news/2019-09-04/fact-check-nsw-abortion-law-victoria/11474570,False,,"['Since abortion was decriminalised in Victoria in 2008, post 20 week abortions have increased by 39 per cent,']",['No tweets found']
10,in-the-red,https://www.abc.net.au/news/2019-08-29/fact-check-mabo-decision-high-court-dispossession-pauline-hanson/11342504,False,,"[""Same as with Mabo, and the native title. We thought we were signing over just to Mabo because his connection with the land. It's had so much impact on us with native title, that a lot of people have been dispossessed of their lands in Australia because of it,""]",['Quoted claim exceeds 280 characters']
11,in-the-red,https://www.abc.net.au/news/2019-07-15/fact-check-homelessness-luke-howarth/11300248,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
12,in-the-red,https://www.abc.net.au/news/2019-07-11/fact-check-are-there-54000-jobs-in-thermal-coal-mining/11198150,False,,"['resounding in standing up for their local jobs, their local industries', 'And that includes thermal coal exports. We know there are 54,000 people employed in that industry...', 'We need to realise that the export of thermal coal is actually going to be part of our economy and our regional communities going forward.']","['No tweets found', 'No tweets found', 'No tweets found']"
13,in-the-red,https://www.abc.net.au/news/2019-05-16/federal-election-fact-check-wages-first-debate-bill-shorten/11072026,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
14,in-the-red,https://www.abc.net.au/news/2019-05-12/federal-election-fact-check-coalition-cuts-public-school-funding/11084514,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
15,in-the-red,https://www.abc.net.au/news/2019-05-08/fact-check-greens-coalition-spending-on-climate-change/11056180,False,,"['bugger all', 'I mean, 189 million bucks over the next four years. They are spending almost as much to keep Christmas Island open in the previous four weeks as they will spend in new money over the next four years on climate change.']","['www.twitter.com/Kevin55681890/status/1125510989846327298', 'Quoted claim exceeds 280 characters']"
16,in-the-red,https://www.abc.net.au/news/2019-04-29/fact-check-apprenticeships-drop-claim-bill-shorten/11049364,False,,"['crisis in trades training', 'They have a shocking record on vocational education,', ""It was 420,000 before the Abbott/Turnbull/Morrison government. Now it's south of 280,000 and declining."", 'tradie nation', 'What I need to do is remedy the crisis in trades training which the Abbott/Turnbull/Morrison governments have created in Australian apprenticeships,']","['No tweets found', 'No tweets found', 'No tweets found', 'www.twitter.com/billshortenmp/status/1110768996461101057', 'No tweets found']"
17,in-the-red,https://www.abc.net.au/news/2019-04-26/fact-check-did-labor-oppose-the-government-gun-reforms/11003182,False,,"['have the testicles of the Government in our hand at every given stage', 'guns, in the scheme of things, are still going to be the be-all and end-all', 'utterly stringent in protecting Australians and maintaining the strength and stringency of our gun laws', 'In fact, as a Government, we have twice tried to pass increased penalties and mandatory minimum penalties for gun traffickers, which has been opposed by the Labor Party,']","['www.twitter.com/meghnabali/status/1110252172346744832', 'www.twitter.com/Biggy1883/status/1110264158165958656', 'No tweets found', 'No tweets found']"
18,in-the-red,https://www.abc.net.au/news/2019-04-11/fact-check-coalition-emissions-reduction-angus-taylor/10936652,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
19,in-the-red,https://www.abc.net.au/news/2019-03-29/fact-check-labor-shorten-aged-care-misleading-claim/10950644,False,,"[""What's really scary is this Government's cut nearly $2 billion from aged-care services.""]",['No tweets found']
20,in-the-red,https://www.abc.net.au/news/2019-03-22/fact-check-nsw-votes-solar-power-usage/10919640,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
21,in-the-red,https://www.abc.net.au/news/2019-03-18/fact-check-nsw-election-school-closures-openings-daley/10892542,Error while scraping article url. Check article format,['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format'],['Error while scraping article url. Check article format']
22,in-the-red,https://www.abc.net.au/news/2019-03-15/fact-check-dutton-refugees-hospital-beds/10900474,True,"['tweeted: ""This is a baseless claim.']","[""people who'd need medical services in Australia are going to be displaced from those services because if you bring hundreds and hundreds of people from Nauru and Manus  down to our country they are going to go to the health network"", ""It's just a simple fact. If we've got to treat more people in Australia then obviously they're going to take the place of people who were getting that treatment anyway. It's just simple math."", 'a statement of fact', 'if more people come to Australia they will displace services that otherwise would be available for Australians', ""This is a baseless claim. Public hospitals can accommodate the health needs of asylum seekers without disadvantaging anyone. St Vincent's is happy to make its hospitals available to provide care to asylum seekers without affecting waiting lists."", ""Australia's health system has enough capacity to cope with the small number of additional patients likely to require treatment under the medivac arrangements.""]","['Quoted claim exceeds 280 characters', 'No tweets found', 'www.twitter.com/Cain21145562/status/1105821474076704769', 'No tweets found', 'Quoted claim exceeds 280 characters', 'www.twitter.com/AusHealthcare/status/1101380684139028480']"
