,Article Type,URL,Has Tweet Source?,Location Tweet Source,Claims,Original tweets
0,featured,https://www.abc.net.au/news/2021-11-26/coronacheck-melbourne-covid-protest-crowd-size/100650146,False,,['possibly the largest ever political rally in Australia'],['www.twitter.com/CraigKellyMP/status/1460754227769212930']
1,featured,https://www.abc.net.au/news/2021-11-19/coronacheck-craig-kelly-more-texts-united-australia-party/100630886,False,,[],[]
2,featured,https://www.abc.net.au/news/2021-11-12/coronacheck-daniel-andrews-new-proposed-pandemic-laws/100613606,False,,[],[]
3,featured,https://www.abc.net.au/news/2021-11-10/fact-check-private-jets-alexander-downer/100606692,True,['Twitter.'],"['There are 400 private jets ferrying delegations to the COP26 conference. @POTUS  brought five. It is estimated they will emit in 24 hours as much CO2 as Scotland emits in a year!,']",['www.twitter.com/AlexanderDowner/status/1455466603668201476']
4,featured,https://www.abc.net.au/news/2021-11-05/coronacheck-qr-codes-do-not-breach-australian-law/100593754,False,,['Toxic Ten'],['www.twitter.com/EINITNews/status/1455746714678222853']
5,featured,https://www.abc.net.au/news/2021-10-29/coronacheck-prince-charles-fainting-man/100576262,False,,[],[]
6,featured,https://www.abc.net.au/news/2021-10-27/fact-check-gina-rinehart-polar-bears/100569118,False,,"['propaganda', ""I'd heard that senior school students in a previous headmistress's time, were having to watch … An Inconvenient Truth. Catchy title, but sadly short on delivery as far as truth is concerned, e.g. the sad loss of polar bears, when actually their numbers have increased,""]","['www.twitter.com/yzelalem3/status/1452938559007170561', 'Quoted claim exceeds 280 characters']"
7,default latest,https://www.abc.net.au/news/2021-10-25/fact-check-is-melbourne-most-locked-down-city/100560172,False,,"[""ere in Melbourne, very sadly, we've endured the longest lockdown in the world,"", 'Consider that. The longest lockdown in the world here in Melbourne.', ""Melbourne has gone from the world's most liveable city to the world's most locked-down city,""]","['No tweets found', 'No tweets found', 'No tweets found']"
8,default latest,https://www.abc.net.au/news/2021-10-22/coronacheck-vaccinations-in-schools-informed-consent/100556640,False,,[],[]
9,default latest,https://www.abc.net.au/news/2021-10-21/are-fossil-fuels-australia-s-largest-export-barnaby-joyce/100553352,False,,"['shut down', ""You've got to remember, fossil fuels are your nation's largest export,"", ""If you take away your nation's largest export ... then you have to accept the lower standard of living.""]","['www.twitter.com/truemanofsteel_/status/1450764049893842948', 'www.twitter.com/JunkScience/status/1442494238940356611', 'No tweets found']"
10,default latest,https://www.abc.net.au/news/2021-10-15/coronacheck-nsw-supreme-court-transcript-fake/100539064,False,,['13 times more likely to catch and spread COVID-19'],['www.twitter.com/veetwentythreet/status/1446239469489647645']
11,default latest,https://www.abc.net.au/news/2021-10-13/fact-check-is-it-perfectly-legal-to-lie-in-a-political-ad-/100511796,False,,"[""It's perfectly legal to lie in a political ad."", 'whilst we have misleading and deceptive legislation to catch advertising that lies about things, we have a free-for-all in political advertising']","['www.twitter.com/no_fkng_way/status/1432457906645979137', 'No tweets found']"
12,default latest,https://www.abc.net.au/news/2021-10-08/coronacheck-poland-viral-video-embassy-protest/100521346,False,,[],[]
13,default latest,https://www.abc.net.au/news/2021-10-06/morrison-businesses-refusing-unvaccinated-customers/100512488,False,,"['no-jab, no-entry approach in commerce', ""Businesses have that right to say who can come into their premises. That's what the law says. And that doesn't fall foul of discrimination laws.""]","['No tweets found', 'No tweets found']"
